year,province,bank_type_bfi,outlet_num,outlet_employees,outlet_assets,corporate_ins_num,outlet_pert
2005,山西省,政策性银行,,1702,668.8,69,
2005,山西省,合计,,78200,8442.1,6638,
2005,山西省,大型商业银行,,38832,4399.3,2029,
2005,山西省,股份制商业银行,,1575,980.8,69,
2005,山西省,邮政储蓄银行,,3635,552.2,1115,
2005,山西省,城市商业银行,,3377,330.6,156,
2005,山西省,城市信用社,,569,39.1,28,
2005,山西省,农村信用社,,28340,1361.5,3170,
2005,山西省,财务公司,,170,109.8,2,
2005,内蒙古自治区,政策性银行,,2021,584.6,85,
2005,内蒙古自治区,合计,,60490,3986.8,5660,
2005,内蒙古自治区,大型商业银行,,34290,2338.5,1910,
2005,内蒙古自治区,股份制商业银行,,281,40,11,
2005,内蒙古自治区,邮政储蓄银行,,3233,213.3,727,
2005,内蒙古自治区,城市商业银行,,1797,289.2,113,
2005,内蒙古自治区,城市信用社,,574,42.5,76,
2005,内蒙古自治区,农村信用社,,18149,466.9,2736,
2005,中国,政策性银行,,56718,,3,
2005,中国,外资银行,,987,,14,
2005,中国,合计,,2322855,,28067,
2005,中国,大型商业银行,,1302447,,4,
2005,中国,股份制商业银行,,139303,,13,
2005,中国,城市商业银行,,109000,,113,
2005,中国,城市信用社,,29595,,599,
2005,中国,农村合作银行,,29294,,58,
2005,中国,农村商业银行,,19278,,12,
2005,中国,农村信用社,,627141,,27101,
2005,中国,信托公司,,4986,,59,
2005,辽宁省,政策性银行,,7993,2648,257,
2005,辽宁省,合计,,60530,8076,5411,
2005,辽宁省,大型商业银行,,2185,1276,80,
2005,辽宁省,股份制商业银行,,9707,1755,520,
2005,辽宁省,邮政储蓄银行,,381,183,17,
2005,辽宁省,城市商业银行,,4352,292,306,
2005,辽宁省,城市信用社,,28245,1119,2773,
2005,辽宁省,农村信用社,,108,220,5,
2005,辽宁省,财务公司,,7559,583,1453,
2005,吉林省,政策性银行,,2338,1174.39,60,
2005,吉林省,外资银行,,0,0,0,
2005,吉林省,合计,,85772,5556.76,5430,
2005,吉林省,大型商业银行,,44209,2622.2,1697,
2005,吉林省,股份制商业银行,,2170,349.56,80,
2005,吉林省,邮政储蓄银行,,4755,319.99,1083,
2005,吉林省,城市商业银行,,4435,284.67,202,
2005,吉林省,城市信用社,,6645,218.46,538,
2005,吉林省,农村信用社,,21107,476.33,1768,
2005,吉林省,财务公司,,113,111.16,2,
2005,黑龙江省,政策性银行,,2562,1080,90,
2005,黑龙江省,外资银行,,0,0,0,
2005,黑龙江省,合计,,87307,7428.2,5909,
2005,黑龙江省,大型商业银行,,56292,3992,2542,
2005,黑龙江省,股份制商业银行,,2853,640.7,109,
2005,黑龙江省,邮政储蓄银行,,1493,626,1493,
2005,黑龙江省,城市商业银行,,2638,426.9,154,
2005,黑龙江省,城市信用社,,3238,95.9,88,
2005,黑龙江省,农村信用社,,18115,496.7,1431,
2005,黑龙江省,财务公司,,116,70,2,
2005,上海市,政策性银行,,464,1104.8,14,
2005,上海市,外资银行,,,3908.66,84,
2005,上海市,合计,,58745,30032.74,2520,
2005,上海市,大型商业银行,,35317,13301.08,1450,
2005,上海市,股份制商业银行,,13026,6732.33,424,
2005,上海市,邮政储蓄银行,,,509.27,,
2005,上海市,城市商业银行,,5001,2304.45,208,
2005,上海市,农村信用社,,4537,1267.19,331,
2005,上海市,财务公司,,400,904.96,9,
2005,江苏省,政策性银行,,2096,1314.3,91,
2005,江苏省,外资银行,,58,123.82,13,
2005,江苏省,合计,,153690,26023.59,11927,
2005,江苏省,大型商业银行,,84802,13681.82,5124,
2005,江苏省,股份制商业银行,,14096,4805.37,607,
2005,江苏省,邮政储蓄银行,,10652,1209.25,2329,
2005,江苏省,城市商业银行,,8614,1645.83,474,
2005,江苏省,城市信用社,,32,8.36,2,
2005,江苏省,农村信用社,,33292,3177.37,3284,
2005,江苏省,财务公司,,48,57.47,3,
2005,浙江省,政策性银行,,1577,817.5,52,
2005,浙江省,外资银行,,132,36.9,4,
2005,浙江省,合计,,146603,23966.47,10009,
2005,浙江省,大型商业银行,,77547,11854.1,3705,
2005,浙江省,股份制商业银行,,12340,4929.5,446,
2005,浙江省,邮政储蓄银行,,9000,538.17,1469,
2005,浙江省,城市商业银行,,7197,1579.8,383,
2005,浙江省,城市信用社,,1167,180.6,39,
2005,浙江省,农村信用社,,37024,3669.1,3902,
2005,安徽省,政策性银行,,2178,794.2,89,
2005,安徽省,外资银行,,0,0,0,
2005,安徽省,合计,,85423,7181.8,5715,
2005,安徽省,大型商业银行,,42509,3831.6,2552,
2005,安徽省,股份制商业银行,,2236,593.4,118,
2005,安徽省,邮政储蓄银行,,8015,467.8,1591,
2005,安徽省,城市商业银行,,3243,481.2,173,
2005,安徽省,城市信用社,,0,0,0,
2005,安徽省,农村信用社,,26982,926.5,1190,
2005,安徽省,财务公司,,260,87.1,2,
2005,福建省,政策性银行,,1027,377.6,39,
2005,福建省,外资银行,,612,260,16,
2005,福建省,合计,,82293,10378.6,5654,
2005,福建省,大型商业银行,,47341,5103.5,2443,
2005,福建省,股份制商业银行,,6514,3139.2,232,
2005,福建省,邮政储蓄银行,,8818,446.6,799,
2005,福建省,城市商业银行,,1893,291.1,81,
2005,福建省,农村信用社,,15870,682.3,2042,
2005,福建省,财务公司,,218,78.3,2,
2005,江西省,政策性银行,,2179,554.5,102,
2005,江西省,合计,,65293,5060.2,6472,
2005,江西省,大型商业银行,,31655,2656.5,1931,
2005,江西省,股份制商业银行,,1490,309.6,83,
2005,江西省,邮政储蓄银行,,5658,496.6,1279,
2005,江西省,城市商业银行,,2132,274.4,127,
2005,江西省,城市信用社,,947,67.9,60,
2005,江西省,农村信用社,,21158,693.2,2889,
2005,江西省,财务公司,,74,7.5,1,
2005,山东省,政策性银行,,3669,1268,144,
2005,山东省,外资银行,,206,115,10,
2005,山东省,合计,,192623,20315,14978,
2005,山东省,大型商业银行,,84022,9265,4892,
2005,山东省,股份制商业银行,,11246,2920,461,
2005,山东省,邮政储蓄银行,,14710,1150,3067,
2005,山东省,城市商业银行,,9677,1512,470,
2005,山东省,城市信用社,,1120,132,50,
2005,山东省,农村信用社,,67707,3402,5878,
2005,河南省,政策性银行,,3780,1482.2,152,
2005,河南省,外资银行,,0,0,0,
2005,河南省,合计,,154406,12326.9,12783,
2005,河南省,大型商业银行,,73909,5520.4,3540,
2005,河南省,股份制商业银行,,3379,1511.4,153,
2005,河南省,邮政储蓄银行,,9622,816.8,2070,
2005,河南省,城市商业银行,,5589,592.2,287,
2005,河南省,城市信用社,,4750,279.2,228,
2005,河南省,农村信用社,,53127,2019,6349,
2005,湖北省,政策性银行,,2251,1204,94,
2005,湖北省,外资银行,,34,17.5,2,
2005,湖北省,合计,,105395,9451.5,7951,
2005,湖北省,大型商业银行,,61266,3498.3,3126,
2005,湖北省,股份制商业银行,,4725,1656,362,
2005,湖北省,邮政储蓄银行,,6088,646.4,1383,
2005,湖北省,城市商业银行,,3290,389.4,157,
2005,湖北省,城市信用社,,76,10.5,4,
2005,湖北省,农村信用社,,27226,1507.3,2815,
2005,湖南省,政策性银行,,2923,919.5,116,
2005,湖南省,外资银行,,0,0,0,
2005,湖南省,合计,,103074,7747.7,9891,
2005,湖南省,大型商业银行,,48535,3902,2626,
2005,湖南省,股份制商业银行,,2237,556.4,84,
2005,湖南省,邮政储蓄银行,,12100,588.1,1933,
2005,湖南省,城市商业银行,,3995,499.8,176,
2005,湖南省,城市信用社,,285,11.2,19,
2005,湖南省,农村信用社,,32886,1254.8,4935,
2005,广东省,政策性银行,,1986,1449,81,
2005,广东省,外资银行,,1648,1360,99,
2005,广东省,合计,,222515,42660,15339,
2005,广东省,大型商业银行,,115388,23598,5874,
2005,广东省,股份制商业银行,,26354,8476,1018,
2005,广东省,邮政储蓄银行,,13962,828,1684,
2005,广东省,城市商业银行,,6794,1965,326,
2005,广东省,农村信用社,,55702,4429,6238,
2005,广东省,财务公司,,681,555,19,
2005,广西壮族自治区,政策性银行,,1629,484.6,63,
2005,广西壮族自治区,外资银行,,0,0,0,
2005,广西壮族自治区,合计,,66144,10341.6,5503,
2005,广西壮族自治区,大型商业银行,,35344,8083.7,2048,
2005,广西壮族自治区,股份制商业银行,,2103,424.1,102,
2005,广西壮族自治区,邮政储蓄银行,,5582,251.1,796,
2005,广西壮族自治区,城市商业银行,,2157,219.1,128,
2005,广西壮族自治区,城市信用社,,0,0,0,
2005,广西壮族自治区,农村信用社,,19329,879,2366,
2005,广西壮族自治区,财务公司,,0,0,0,
2005,海南省,政策性银行,,389,330.7,19,
2005,海南省,外资银行,,15,2.8,1,
2005,海南省,合计,,17067,1591.8,1346,
2005,海南省,大型商业银行,,10762,954.1,562,
2005,海南省,股份制商业银行,,595,132.1,27,
2005,海南省,邮政储蓄银行,,2489,94.6,336,
2005,海南省,城市商业银行,,0,0,0,
2005,海南省,城市信用社,,1,0.3,1,
2005,海南省,农村信用社,,2816,77.2,400,
2005,海南省,财务公司,,0,0,0,
2005,重庆市,政策性银行,,1177,403.1,38,
2005,重庆市,外资银行,,84,12.8,4,
2005,重庆市,合计,,48825,5225.9,5325,
2005,重庆市,大型商业银行,,21399,2410.5,1335,
2005,重庆市,股份制商业银行,,4001,1281.3,170,
2005,重庆市,邮政储蓄银行,,7777,,1588,
2005,重庆市,城市商业银行,,1801,333.2,97,
2005,重庆市,农村信用社,,12326,758.3,2091,
2005,四川省,政策性银行,,2881,1154.3,113,
2005,四川省,外资银行,,131,12.3,5,
2005,四川省,合计,,129761,11732.4,13656,
2005,四川省,大型商业银行,,62258,6663.1,3423,
2005,四川省,股份制商业银行,,4043,1122.3,170,
2005,四川省,邮政储蓄银行,,14069,508,2815,
2005,四川省,城市商业银行,,4530,549,335,
2005,四川省,城市信用社,,1291,93.7,127,
2005,四川省,农村信用社,,40484,1582.6,6666,
2005,四川省,财务公司,,74,47.1,2,
2005,贵州省,政策性银行,,1253,341.7,67,
2005,贵州省,合计,,41116,3200.7,4131,
2005,贵州省,大型商业银行,,21749,1937.3,1210,
2005,贵州省,股份制商业银行,,759,94.4,44,
2005,贵州省,邮政储蓄银行,,2626,,630,
2005,贵州省,城市商业银行,,2911,323.2,139,
2005,贵州省,农村信用社,,11724,489.3,2038,
2005,贵州省,财务公司,,94,14.8,3,
2005,云南省,政策性银行,,1901,595.9,87,
2005,云南省,外资银行,,9,7.3,2,
2005,云南省,合计,,62298,5993.8,4170,
2005,云南省,大型商业银行,,32120,3459.1,1654,
2005,云南省,股份制商业银行,,3080,337.8,118,
2005,云南省,邮政储蓄银行,,5634,149.7,753,
2005,云南省,城市商业银行,,1203,240.1,72,
2005,云南省,城市信用社,,443,54.7,38,
2005,云南省,农村信用社,,17800,1140.1,1444,
2005,西藏自治区,政策性银行,,6,0,1,
2005,西藏自治区,外资银行,,39286,3752,2021,
2005,西藏自治区,合计,,44432,4218.6,2691,
2005,西藏自治区,大型商业银行,,4695,446.5,552,
2005,西藏自治区,邮政储蓄银行,,422,16.1,116,
2005,西藏自治区,信托公司,,23,4,1,
2005,陕西省,政策性银行,,2928,970,106,
2005,陕西省,合计,,33591,3076,4727,
2005,陕西省,大型商业银行,,1915,610,81,
2005,陕西省,股份制商业银行,,2847,360,147,
2005,陕西省,邮政储蓄银行,,64,31,1,
2005,陕西省,城市商业银行,,390,24,33,
2005,陕西省,城市信用社,,19701,899,3161,
2005,陕西省,农村信用社,,222,182,3,
2005,陕西省,财务公司,,5524,,1195,
2005,甘肃省,政策性银行,,1359,409.6,59,
2005,甘肃省,外资银行,,0,0,0,
2005,甘肃省,合计,,42046,3420,4720,
2005,甘肃省,大型商业银行,,24218,1944.6,1572,
2005,甘肃省,股份制商业银行,,804,271.1,40,
2005,甘肃省,邮政储蓄银行,,1790,186.9,510,
2005,甘肃省,城市商业银行,,1513,202.1,82,
2005,甘肃省,城市信用社,,485,22.7,37,
2005,甘肃省,农村信用社,,11871,378.6,2419,
2005,甘肃省,财务公司,,6,4.4,1,
2005,青海省,政策性银行,,409,205.97,27,
2005,青海省,外资银行,,0,0,0,
2005,青海省,合计,,12243,887.9,1006,
2005,青海省,大型商业银行,,8197,592.53,430,
2005,青海省,股份制商业银行,,0,0,0,
2005,青海省,邮政储蓄银行,,896,,108,
2005,青海省,城市商业银行,,636,39.63,47,
2005,青海省,城市信用社,,0,0,0,
2005,青海省,农村信用社,,2105,49.77,394,
2005,青海省,财务公司,,0,0,0,
2005,宁夏回族自治区,政策性银行,,325,157.2,16,
2005,宁夏回族自治区,合计,,15539,1161.8,1107,
2005,宁夏回族自治区,大型商业银行,,8982,532.3,498,
2005,宁夏回族自治区,邮政储蓄银行,,921,35.6,155,
2005,宁夏回族自治区,城市商业银行,,1516,165.7,33,
2005,宁夏回族自治区,城市信用社,,131,44,14,
2005,宁夏回族自治区,农村信用社,,3617,188.8,390,
2005,新疆维吾尔自治区,政策性银行,,1889,623.21,90,
2005,新疆维吾尔自治区,合计,,44050,4189.8,3452,
2005,新疆维吾尔自治区,大型商业银行,,25798,2574.55,1408,
2005,新疆维吾尔自治区,股份制商业银行,,948,220.9,35,
2005,新疆维吾尔自治区,邮政储蓄银行,,3997,183.25,572,
2005,新疆维吾尔自治区,城市商业银行,,999,169.99,70,
2005,新疆维吾尔自治区,城市信用社,,474,63.27,38,
2005,新疆维吾尔自治区,农村信用社,,9800,322.99,1235,
2005,新疆维吾尔自治区,财务公司,,145,31.64,4,
2006,北京市,政策性银行,,642,4529,16,
2006,北京市,外资银行,,2105,1062,117,
2006,北京市,合计,,69197,44407,3301,
2006,北京市,大型商业银行,,37223,21581,1473,
2006,北京市,股份制商业银行,,12414,11083,362,
2006,北京市,邮政储蓄银行,,3803,451,497,
2006,北京市,城市商业银行,,4640,2640,125,
2006,北京市,城市信用社,,0,0,0,
2006,北京市,农村商业银行,,7620,1519,691,
2006,北京市,财务公司,,750,1542,20,
2006,天津市,政策性银行,,308,663,10,
2006,天津市,外资银行,,510,282,14,
2006,天津市,合计,,39754,8093,2418,
2006,天津市,大型商业银行,,24153,3978,1192,
2006,天津市,股份制商业银行,,3976,1318,141,
2006,天津市,邮政储蓄银行,,2100,286,361,
2006,天津市,城市商业银行,,3411,810,181,
2006,天津市,农村信用社,,5019,714,515,
2006,天津市,财务公司,,38,6,2,
2006,天津市,信托公司,,239,36,2,
2006,河北省,政策性银行,,3801,845,165,
2006,河北省,合计,,136032,14145,10232,
2006,河北省,大型商业银行,,71952,7890,3345,
2006,河北省,股份制商业银行,,2836,850,108,
2006,河北省,邮政储蓄银行,,12140,791,1250,
2006,河北省,城市商业银行,,5572,661,215,
2006,河北省,城市信用社,,1805,191,84,
2006,河北省,农村信用社,,37868,2887,5063,
2006,河北省,财务公司,,58,30,2,
2006,山西省,政策性银行,,1696,761,69,
2006,山西省,合计,,89265,9715,6396,
2006,山西省,大型商业银行,,40024,5069,1755,
2006,山西省,股份制商业银行,,7756,1153,144,
2006,山西省,邮政储蓄银行,,8869,552,1106,
2006,山西省,城市商业银行,,3418,461,154,
2006,山西省,城市信用社,,608,53,28,
2006,山西省,农村信用社,,26724,1556,3138,
2006,山西省,财务公司,,170,110,2,
2006,内蒙古自治区,政策性银行,,2013,689.6,85,
2006,内蒙古自治区,合计,,63354,5052.3,5288,
2006,内蒙古自治区,大型商业银行,,33820,2728.9,1706,
2006,内蒙古自治区,股份制商业银行,,430,90.1,14,
2006,内蒙古自治区,邮政储蓄银行,,5970,244.2,713,
2006,内蒙古自治区,城市商业银行,,2212,511.9,138,
2006,内蒙古自治区,城市信用社,,362,35,43,
2006,内蒙古自治区,农村信用社,,18225,601.6,2584,
2006,内蒙古自治区,信托公司,,140,12.3,2,
2006,中国,政策性银行,,56760,,3,
2006,中国,外资银行,,16724,,14,
2006,中国,合计,,2732394,,19797,
2006,中国,大型商业银行,,1469436,,5,
2006,中国,股份制商业银行,,118036,,12,
2006,中国,邮政储蓄银行,,237389,,1,
2006,中国,城市商业银行,,113999,,113,
2006,中国,城市信用社,,19004,,78,
2006,中国,农村合作银行,,37188,,80,
2006,中国,农村商业银行,,20003,,13,
2006,中国,农村信用社,,634659,,19348,
2006,中国,信托公司,,5015,,54,
2006,辽宁省,政策性银行,,2152,1512.8,80,
2006,辽宁省,外资银行,,,211.8,,
2006,辽宁省,合计,,120201,16828.8,6791,
2006,辽宁省,大型商业银行,,63302,7242.5,2878,
2006,辽宁省,股份制商业银行,,10805,3017.1,403,
2006,辽宁省,邮政储蓄银行,,,666,,
2006,辽宁省,城市商业银行,,10467,2467.2,587,
2006,辽宁省,城市信用社,,4121,314.2,271,
2006,辽宁省,农村信用社,,29341,1218.8,2571,
2006,辽宁省,财务公司,,13,178.4,1,
2006,吉林省,政策性银行,,1792,1311.9,60,
2006,吉林省,外资银行,,0,0,0,
2006,吉林省,合计,,83408,6353.6,5013,
2006,吉林省,大型商业银行,,40273,2807.3,1537,
2006,吉林省,股份制商业银行,,2163,454.8,81,
2006,吉林省,邮政储蓄银行,,5107,374.5,1091,
2006,吉林省,城市商业银行,,4533,381.7,199,
2006,吉林省,城市信用社,,4732,196.5,223,
2006,吉林省,农村信用社,,24564,714.7,1820,
2006,吉林省,财务公司,,244,112.2,2,
2006,黑龙江省,政策性银行,,2458,1158.1,89,
2006,黑龙江省,外资银行,,0,0,0,
2006,黑龙江省,合计,,90074,8269.9,5710,
2006,黑龙江省,大型商业银行,,54578,4252.4,2224,
2006,黑龙江省,股份制商业银行,,2858,777.4,111,
2006,黑龙江省,邮政储蓄银行,,6732,709.1,1493,
2006,黑龙江省,城市商业银行,,3011,594.5,178,
2006,黑龙江省,城市信用社,,3104,83.9,218,
2006,黑龙江省,农村信用社,,17308,625.7,1396,
2006,黑龙江省,财务公司,,25,68.8,1,
2006,上海市,政策性银行,,449,1197,14,
2006,上海市,外资银行,,,5094,100,
2006,上海市,合计,,60564,36189,2544,
2006,上海市,大型商业银行,,36192,16113,1448,
2006,上海市,股份制商业银行,,13421,8172,435,
2006,上海市,邮政储蓄银行,,,522,,
2006,上海市,城市商业银行,,5085,2599,209,
2006,上海市,城市信用社,,0,0,0,
2006,上海市,农村信用社,,5048,1358,329,
2006,上海市,财务公司,,369,1134,9,
2006,江苏省,政策性银行,,2191,1541.2,94,
2006,江苏省,外资银行,,338,121.5,16,
2006,江苏省,合计,,149174,28654.3,10403,
2006,江苏省,大型商业银行,,85804,15838,4692,
2006,江苏省,股份制商业银行,,15366,5796.2,608,
2006,江苏省,邮政储蓄银行,,13080,1417.3,2396,
2006,江苏省,城市商业银行,,8683,2008.4,477,
2006,江苏省,城市信用社,,45,10.2,2,
2006,江苏省,农村信用社,,23617,1881.9,2115,
2006,江苏省,财务公司,,50,39.6,3,
2006,浙江省,政策性银行,,1649,1000,53,
2006,浙江省,外资银行,,210,47,7,
2006,浙江省,合计,,188233,32696,13741,
2006,浙江省,大型商业银行,,78502,13726,3572,
2006,浙江省,股份制商业银行,,14164,6107,460,
2006,浙江省,邮政储蓄银行,,9765,693,1543,
2006,浙江省,城市商业银行,,7680,2212,385,
2006,浙江省,城市信用社,,160,12,8,
2006,浙江省,小型农村金融机构,,37845,4330,3852,
2006,浙江省,农村合作银行,,17656,2639,1816,
2006,浙江省,农村信用社,,20189,1691,2036,
2006,浙江省,财务公司,,77,102,2,
2006,浙江省,信托公司,,207,97,4,
2006,安徽省,政策性银行,,2355,924,86,
2006,安徽省,合计,,86165,8428,7485,
2006,安徽省,大型商业银行,,42957,4313,2278,
2006,安徽省,股份制商业银行,,2959,731,123,
2006,安徽省,邮政储蓄银行,,8015,568,1591,
2006,安徽省,城市商业银行,,3694,703,168,
2006,安徽省,农村合作银行,,480,41,56,
2006,安徽省,农村信用社,,25705,1148,3183,
2006,福建省,政策性银行,,954,458.4,39,
2006,福建省,外资银行,,619,349.2,18,
2006,福建省,合计,,82705,12143.6,5221,
2006,福建省,大型商业银行,,47258,5887.1,2230,
2006,福建省,股份制商业银行,,7850,3737.8,240,
2006,福建省,邮政储蓄银行,,8477,494.8,845,
2006,福建省,城市商业银行,,1947,428.4,81,
2006,福建省,农村信用社,,15372,766.4,1766,
2006,福建省,信托公司,,228,21.5,2,
2006,江西省,政策性银行,,2197,585.9,102,
2006,江西省,外资银行,,0,0,0,
2006,江西省,合计,,68927,5910.4,6223,
2006,江西省,大型商业银行,,33391,3056.2,1787,
2006,江西省,股份制商业银行,,1795,417.7,76,
2006,江西省,邮政储蓄银行,,5854,580.2,1300,
2006,江西省,城市商业银行,,2565,344.9,126,
2006,江西省,城市信用社,,558,76.4,38,
2006,江西省,农村信用社,,22380,833.9,2791,
2006,江西省,财务公司,,187,15.2,3,
2006,山东省,政策性银行,,3470,1437.7,145,
2006,山东省,外资银行,,296,146.4,11,
2006,山东省,合计,,192091,23366.8,14163,
2006,山东省,大型商业银行,,80426,10505.6,4322,
2006,山东省,股份制商业银行,,11074,3370.1,468,
2006,山东省,邮政储蓄银行,,14597,1294,2916,
2006,山东省,城市商业银行,,10409,1931.3,486,
2006,山东省,城市信用社,,979,146.5,35,
2006,山东省,农村信用社,,55739,3996.7,5775,
2006,山东省,财务公司,,15101,538.5,5,
2006,河南省,政策性银行,,3634,1732,152,
2006,河南省,外资银行,,192,16,2,
2006,河南省,合计,,150795,13946,11881,
2006,河南省,大型商业银行,,68764,6025,3177,
2006,河南省,股份制商业银行,,4159,1670,160,
2006,河南省,邮政储蓄银行,,13096,1002,2130,
2006,河南省,城市商业银行,,5489,717,278,
